playerId	playerName	position	team	point
285396	C. Pav\u00f3n	[{'y': 97, 'x': 63}, {'y': 98, 'x': 34}]	Argentina	18
3359	L. Messi	[{'y': 62, 'x': 58}, {'y': 60, 'x': 55}]	Argentina	108
31528	N. Kant\u00e9	[{'y': 40, 'x': 45}, {'y': 52, 'x': 47}]	France	134
3355	J. Mascherano	[{'y': 40, 'x': 44}, {'y': 38, 'x': 32}]	Argentina	40
86234	E. P\u00e9rez	[{'y': 94, 'x': 40}, {'y': 97, 'x': 28}]	Argentina	3
25437	B. Matuidi	[{'y': 5, 'x': 31}, {'y': 7, 'x': 31}]	France	18
279545	L. Hern\u00e1ndez	[{'y': 37, 'x': 15}, {'y': 41, 'x': 14}]	France	75
3314	\u00c1. di Mar\u00eda	[{'y': 22, 'x': 90}, {'y': 20, 'x': 93}]	Argentina	25
3463	F. Fazio	[{'y': 63, 'x': 29}, {'y': 33, 'x': 37}]	Argentina	6
8325	S. Ag\u00fcero	[{'y': 6, 'x': 84}, {'y': 0, 'x': 93}]	Argentina	38
146459	M. Meza	[{'y': 90, 'x': 59}, {'y': 58, 'x': 36}]	Argentina	23
209091	C. Tolisso	[{'y': 13, 'x': 78}, {'y': 14, 'x': 72}]	France	36
28115	N. Fekir	[{'y': 54, 'x': 44}, {'y': 55, 'x': 42}]	France	22
25770	F. Thauvin	[{'y': 99, 'x': 22}, {'y': 95, 'x': 8}]	France	1
238055	A. Nabbout	[{'y': 49, 'x': 49}, {'y': 54, 'x': 32}]	Australia	6
61395	T. Sainsbury	[{'y': 54, 'x': 32}, {'y': 0, 'x': 60}]	Australia	52
61425	M. Milligan	[{'y': 6, 'x': 38}, {'y': 17, 'x': 59}]	Australia	31
62389	A. Mooy	[{'y': 25, 'x': 57}, {'y': 23, 'x': 74}]	Australia	43
16151	R. Kruse	[{'y': 23, 'x': 74}, {'y': 20, 'x': 69}]	Australia	17
8410	M. Jedinak	[{'y': 41, 'x': 69}, {'y': 55, 'x': 90}]	Australia	45
61390	M. Ryan	[{'y': 100, 'x': 100}, {'y': 30, 'x': 5}]	Australia	34
15020	M. Leckie	[{'y': 40, 'x': 2}, {'y': 61, 'x': 3}]	Australia	61
286390	O. Demb\u00e9l\u00e9	[{'y': 4, 'x': 74}, {'y': 51, 'x': 62}]	France	30
61367	J. Risdon	[{'y': 89, 'x': 26}, {'y': 39, 'x': 56}]	Australia	21
61651	A. Behich	[{'y': 3, 'x': 36}, {'y': 5, 'x': 54}]	Australia	23
61407	T. Rogi\u0107	[{'y': 87, 'x': 63}, {'y': 95, 'x': 59}]	Australia	43
69978	T. Juri\u0107	[{'y': 7, 'x': 85}, {'y': 8, 'x': 89}]	Australia	13
